,idcode,year,birth_yr,age,race,msp,nev_mar,grade,collgrad,not_smsa,c_city,south,ind_code,occ_code,union,wks_ue,ttl_exp,tenure,hours,wks_work,ln_wage
83,7,88,49,39.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,7.326923,2.25,30.0,74.0,1.5324769
84,9,70,51,18.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,0.8076923,0.6666667,40.0,34.0,1.4722368
85,9,71,51,19.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,1.7692307,1.5833334,40.0,50.0,1.7170231
86,9,72,51,20.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,2.653846,2.5,40.0,46.0,1.7472422
87,9,73,51,21.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,3.5833333,3.5833333,40.0,31.0,1.7997917
89,9,77,51,25.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,7.5833335,7.5833335,40.0,39.0,2.0913637
90,9,78,51,26.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,8.641026,8.583333,40.0,55.0,2.1140988
93,9,83,51,31.0,white,0.0,0.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,13.583333,13.5,40.0,52.0,2.3485804
96,9,88,51,37.0,white,0.0,0.0,12.0,0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,19.04487,19.0,40.0,76.0,2.3505313
98,10,70,51,18.0,white,0.0,1.0,10.0,0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,1.4551282,1.4166666,40.0,54.0,1.4614837
99,10,71,51,19.0,white,0.0,1.0,10.0,0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,2.4551282,2.4166667,40.0,52.0,1.6116626
102,10,77,51,25.0,white,1.0,0.0,10.0,0,0.0,0.0,0.0,4.0,6.0,0.0,49.0,3.5576923,0.0,40.0,3.0,1.3212559
104,10,80,51,28.0,white,1.0,0.0,10.0,0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,3.9615386,0.41666666,40.0,17.0,1.275272
105,10,82,51,30.0,white,1.0,0.0,10.0,0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,5.0,0.083333336,40.0,54.0,0.79744935
107,12,88,47,40.0,white,1.0,0.0,18.0,1,0.0,0.0,0.0,11.0,2.0,0.0,0.0,15.557693,14.166667,45.0,61.0,2.845265
109,13,71,47,23.0,white,1.0,0.0,14.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.0,1.4166666,40.0,51.0,1.9544634
110,13,73,47,25.0,white,1.0,0.0,14.0,0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,3.8653846,0.16666667,20.0,11.0,1.8643298
112,13,78,47,30.0,white,1.0,0.0,14.0,0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,5.519231,0.9166667,20.0,47.0,2.1258345
115,13,83,47,35.0,white,1.0,0.0,14.0,0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,9.365384,2.0,2.0,52.0,2.6678684
118,13,88,47,40.0,white,1.0,0.0,14.0,0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,14.25,5.5,8.0,77.0,2.57137
120,14,88,47,40.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,7.3846154,2.25,50.0,69.0,2.0471208
121,15,77,48,28.0,white,1.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,6.557692,2.0,24.0,52.0,2.2050233
123,15,80,48,31.0,white,1.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,1.0,1.0,8.769231,0.083333336,35.0,64.0,2.3835156
125,15,83,48,34.0,white,1.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,1.0,0.0,10.961538,3.0,24.0,16.0,2.4855468
126,15,85,48,36.0,white,1.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,1.0,0.0,12.692307,5.0,12.0,90.0,2.3079464
127,15,87,48,38.0,white,1.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,1.0,0.0,14.461538,7.0,24.0,92.0,2.8137445
128,15,88,48,39.0,white,1.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,1.0,0.0,15.769231,8.416667,16.0,68.0,2.8211098
129,16,70,48,21.0,white,0.0,1.0,15.0,0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.5192308,0.5,40.0,27.0,2.0432465
131,16,72,48,23.0,white,0.0,1.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.3461537,1.6666666,38.0,51.0,2.0113277
132,16,73,48,24.0,white,0.0,1.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.3076923,2.8333333,38.0,50.0,2.0874736
134,16,77,48,28.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,5.3076925,2.4166667,40.0,52.0,1.9353597
135,16,78,48,29.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,6.326923,3.4166667,40.0,53.0,2.0186203
138,16,83,48,34.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,11.096154,8.416667,40.0,52.0,2.1713836
141,16,88,48,40.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,16.384615,13.833333,40.0,67.0,2.7397485
142,17,70,48,21.0,white,0.0,1.0,15.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.5192308,0.5,40.0,27.0,2.0000293
143,17,71,48,22.0,white,0.0,1.0,15.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.4615386,1.4166666,40.0,49.0,1.9544634
144,17,72,48,23.0,white,1.0,0.0,15.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.3333333,2.3333333,40.0,26.0,2.0831819
145,17,73,48,24.0,white,1.0,0.0,15.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.4166667,3.4166667,24.0,54.0,2.6470895
146,17,77,48,28.0,white,1.0,0.0,15.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,6.4166665,6.4166665,24.0,8.0,2.0391016
147,17,87,48,38.0,white,1.0,0.0,15.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,8.993589,3.3333333,30.0,76.0,2.3720238
148,18,77,48,28.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.5192308,0.9166667,23.0,40.0,1.237874
151,18,88,48,40.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,7.75,7.75,40.0,72.0,1.6550792
152,19,70,48,21.0,white,0.0,1.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.5,0.5,40.0,19.0,2.0187805
153,19,71,48,22.0,white,0.0,1.0,15.0,0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1.5576923,1.5,40.0,55.0,2.0420008
154,19,72,48,23.0,white,1.0,0.0,15.0,0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,2.4230769,2.4166667,40.0,45.0,1.773027
157,19,78,48,29.0,white,1.0,0.0,15.0,0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,5.057692,0.9166667,12.0,43.0,1.780994
163,19,88,48,40.0,white,0.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,14.211538,5.5833335,40.0,72.0,2.3185594
164,20,70,48,21.0,white,0.0,1.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.5,0.5,40.0,26.0,2.0187805
165,20,71,48,22.0,white,0.0,1.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.5,1.5,40.0,52.0,2.0816658
166,20,72,48,23.0,white,0.0,1.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.4038463,0.33333334,40.0,47.0,2.117261
167,20,73,48,24.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,3.4423077,1.4166666,40.0,54.0,2.099896
169,20,77,48,28.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,5.4166665,5.4166665,40.0,40.0,2.1005802
170,20,78,48,29.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,6.4935894,6.4166665,16.0,56.0,1.9903961
172,20,82,48,33.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,9.916666,3.5833333,16.0,80.0,1.9273149
173,20,83,48,34.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,10.666666,0.75,14.0,39.0,2.0688183
176,20,88,48,39.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,15.858974,4.6666665,4.0,70.0,2.2681837
178,21,72,48,23.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.75,1.75,38.0,53.0,2.208345
179,21,73,48,24.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.7692308,2.75,38.0,53.0,2.1940827
183,22,70,47,22.0,white,0.0,1.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.4230769,1.4166666,40.0,52.0,1.971228
184,22,71,47,23.0,white,1.0,0.0,15.0,0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,2.4166667,2.4166667,40.0,51.0,2.0420008
186,22,73,47,25.0,white,1.0,0.0,15.0,0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,3.4358974,1.4166666,40.0,53.0,2.3205674
188,22,77,47,29.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,4.8782053,2.0833333,24.0,36.0,2.1295154
189,22,78,47,30.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,5.8589745,3.0833333,24.0,51.0,2.0568414
194,22,88,47,41.0,white,1.0,0.0,15.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,15.012821,3.0,32.0,72.0,2.2036452
196,23,77,46,30.0,white,1.0,0.0,15.0,1,1.0,0.0,0.0,4.0,1.0,0.0,0.0,6.384616,1.6666666,40.0,32.0,1.8546993
198,23,83,46,36.0,white,1.0,0.0,15.0,1,1.0,0.0,0.0,11.0,1.0,0.0,0.0,9.961539,2.5833333,10.0,54.0,1.8737952
200,23,88,46,42.0,white,1.0,0.0,15.0,1,1.0,0.0,0.0,11.0,1.0,0.0,0.0,15.346155,8.083333,45.0,72.0,2.0858622
203,24,70,46,23.0,white,1.0,0.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.6217947,1.6666666,40.0,54.0,2.0000293
205,24,72,46,25.0,white,1.0,0.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.5064101,0.75,16.0,43.0,2.099055
206,24,73,46,26.0,white,1.0,0.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,4.50641,1.8333334,16.0,52.0,2.0388083
208,24,77,46,30.0,white,1.0,0.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,5.2756405,0.33333334,16.0,10.0,1.8061476
209,24,78,46,31.0,white,1.0,0.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,6.352564,1.4166666,16.0,56.0,1.8579543
212,24,83,46,36.0,white,1.0,0.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,11.121794,0.0,24.0,52.0,2.1196868
215,24,88,46,41.0,white,1.0,0.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,16.467947,3.4166667,24.0,70.0,2.406495
218,25,70,46,24.0,white,1.0,0.0,14.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,2.5384617,2.5,40.0,54.0,2.0432465
221,25,77,46,30.0,white,1.0,0.0,14.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,6.769231,3.4166667,24.0,52.0,2.1097133
222,25,78,46,32.0,white,1.0,0.0,14.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,7.8076925,4.5,24.0,54.0,2.115784
225,25,83,46,36.0,white,1.0,0.0,14.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,12.576923,0.0,24.0,52.0,2.3111935
228,25,88,46,42.0,white,1.0,0.0,14.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,17.75,5.4166665,40.0,61.0,2.259815
231,26,70,44,25.0,white,0.0,1.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.5384617,2.5,40.0,54.0,2.0432465
232,26,71,44,26.0,white,0.0,1.0,14.0,1,1.0,0.0,0.0,11.0,1.0,0.0,0.0,3.5192308,3.5,40.0,51.0,2.1224883
233,26,83,44,38.0,white,1.0,0.0,14.0,1,1.0,0.0,0.0,11.0,2.0,0.0,0.0,10.442307,3.1666667,21.0,51.0,1.1537404
237,27,70,46,24.0,white,0.0,1.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.4551282,2.3333333,40.0,54.0,2.168054
238,27,71,46,25.0,white,0.0,1.0,14.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.4166665,3.3333333,40.0,50.0,2.1224883
241,29,71,48,22.0,white,1.0,0.0,13.0,0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.2884617,0.9166667,35.0,49.0,2.111764
242,29,72,48,23.0,white,1.0,0.0,13.0,0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,3.3653846,2.0,38.0,56.0,1.6737087
245,30,72,50,21.0,white,1.0,0.0,8.0,0,0.0,1.0,0.0,9.0,6.0,1.0,5.0,3.7435899,0.5833333,42.0,26.0,1.5767901
247,30,77,50,26.0,white,1.0,0.0,8.0,0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,4.3974357,0.083333336,20.0,5.0,1.6773648
248,30,82,50,31.0,white,1.0,0.0,8.0,0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,4.9551277,0.5833333,40.0,29.0,1.4109865
249,30,83,50,32.0,white,1.0,0.0,8.0,0,0.0,1.0,0.0,4.0,6.0,0.0,2.0,5.878205,1.5,40.0,48.0,1.382926
251,35,82,52,29.0,white,1.0,0.0,11.0,0,0.0,1.0,0.0,9.0,7.0,0.0,37.0,2.8589742,1.1666666,8.0,61.0,1.1314017
255,36,73,51,21.0,white,0.0,1.0,12.0,0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,5.647436,1.1666666,40.0,54.0,1.6174701
257,36,77,51,25.0,white,0.0,1.0,12.0,0,0.0,0.0,0.0,4.0,6.0,1.0,3.0,7.5897436,0.6666667,56.0,49.0,2.2628245
258,36,78,51,26.0,white,0.0,1.0,12.0,0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,8.589744,1.6666666,56.0,52.0,2.3219492
266,38,71,44,26.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,4.6153846,2.0833333,25.0,58.0,1.4938796
267,38,72,44,27.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,5.5,3.0833333,13.0,46.0,1.5986733
269,38,77,44,32.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,7.5,2.3333333,20.0,52.0,1.3212559
271,39,83,43,39.0,white,0.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.397436,2.5,40.0,52.0,2.343061
274,39,88,43,44.0,white,0.0,0.0,16.0,1,0.0,0.0,0.0,11.0,1.0,0.0,0.0,8.839744,7.9166665,40.0,75.0,2.2814286
275,40,71,50,20.0,white,0.0,1.0,14.0,0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,1.1346154,0.75,40.0,43.0,1.7523896
278,41,70,47,22.0,white,0.0,1.0,12.0,0,0.0,0.0,0.0,11.0,1.0,0.0,10.0,1.6089743,0.75,40.0,36.0,1.1969546
279,41,71,47,23.0,white,0.0,1.0,12.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.7435899,1.8333334,40.0,59.0,1.6336411
280,41,72,47,24.0,white,0.0,1.0,12.0,0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.6858976,2.8333333,42.0,49.0,1.8960483
283,41,77,47,29.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,5.685898,2.5,40.0,20.0,1.739161
284,43,83,53,30.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,13.0,0.0,0.0,7.019231,5.3333335,35.0,51.0,1.5592052
285,43,85,53,32.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,13.0,0.0,0.0,7.5384617,5.75,30.0,27.0,1.8176775
286,44,77,47,30.0,white,1.0,0.0,18.0,1,0.0,0.0,0.0,12.0,1.0,1.0,30.0,5.647436,3.1666667,35.0,0.0,2.6666646
287,44,78,47,31.0,white,1.0,0.0,18.0,1,0.0,0.0,0.0,12.0,1.0,0.0,32.0,6.1089745,0.41666666,35.0,24.0,2.476491
289,44,83,47,36.0,white,1.0,0.0,18.0,1,0.0,0.0,0.0,12.0,1.0,1.0,0.0,10.839744,3.5,35.0,50.0,2.9530802
292,44,88,47,41.0,white,1.0,0.0,18.0,1,0.0,0.0,0.0,12.0,1.0,1.0,0.0,16.205128,3.5,35.0,71.0,3.3483822
293,45,72,52,19.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,5.0,1.3653846,0.9166667,38.0,45.0,1.6451927
294,45,73,52,20.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,2.3846154,1.9166666,38.0,53.0,1.8261089
296,45,77,52,24.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,5.8333335,5.8333335,38.0,52.0,2.1833014
297,45,78,52,25.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,6.9166665,6.9166665,38.0,0.0,2.21354
298,45,80,52,27.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,8.833333,8.833333,38.0,94.0,2.2094665
299,45,82,52,29.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,10.916667,10.916667,38.0,72.0,2.2617629
300,45,83,52,30.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,11.9743595,11.916667,37.0,55.0,2.3356533
302,45,87,52,34.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,15.833333,15.833333,38.0,96.0,2.3150485
303,45,88,52,35.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,17.25,17.25,38.0,71.0,2.3209338
305,46,88,44,44.0,white,1.0,0.0,18.0,1,0.0,0.0,0.0,11.0,3.0,0.0,0.0,5.544872,2.9166667,25.0,60.0,1.1156428
306,47,87,52,34.0,white,0.0,0.0,12.0,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,7.410256,0.41666666,40.0,38.0,1.6928196
307,47,88,52,35.0,white,0.0,0.0,12.0,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,8.737179,0.75,40.0,69.0,1.2603251
313,49,70,47,23.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,2.3846154,1.6666666,35.0,56.0,1.8542563
314,49,71,47,24.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,3.423077,2.6666667,35.0,54.0,1.8480508
316,49,83,47,36.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,5.4038463,2.5,6.0,51.0,1.5692561
317,50,83,52,31.0,white,0.0,0.0,16.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,5.0384617,2.0833333,40.0,54.0,1.8129859
318,50,85,52,33.0,white,1.0,0.0,16.0,1,0.0,1.0,0.0,11.0,1.0,0.0,0.0,6.0384617,4.0,40.0,52.0,2.1540928
